,"Trade_Name
",Chemical,Manufacturer,Top_15_Brand_Corporation,Biologic_(by_Product),Biosimilar,NAS,Oncology,Rare_Disease_(FDA),Rare_Disease_(EMA),Rare_Disease_(FDA_or_EMA),HC-HTA_Aligned_Review,Health_Canada_Submission_Date,NOC_Date,Health_Canada_Review_Time,HTA_Agency,CADTH_Submission_Date,CADTH_Timing_of__Submission,CADTH_Submission_Type_-_Agency_Specific,CADTH_Indication,CADTH_Review_Status,CADTH_Final_Recommendation/Withdrawn_Date,CADTH_Recommended_-_Agency_Specific,CADTH_Decision_Type_-_Standardized,INESSS_Submission_Date,INESSS_Timing_of__Submission,INESSS_Submission_Type_-_Agency_Specific,INESSS_Indication,INESSS_Review_Status,INESSS_Final_Recommendation/Withdrawn_Date,INESSS_Recommended_-_Agency_Specific,INESSS_Decision_Type_-_Standardized,pCPA_Negotiation,pCPA_First_Date,pCPA_Final_Date,pCPA_Type,pCPA_Negotiation_Outcome,BC_Status,AB_Status,SK_Status,MB_Status,ON_Status,NB_Status,NS_Status,PEI_Status,NL_Status,QC_Status,Listing_BC_Date,Listing_AB_Date,Listing_SK_Date,Listing_MB_Date,Listing_ON_Date,Listing_NB_Date,Listing_NS_Date,Listing_PEI_Date,Listing_NL_Date,Listing_QC_Date,First_Prov_Listing_(excl_QC),First_Prov_Listing_(inc_QC),Rank_BC_Listing_Date,Rank_AB_Listing_Date,Rank_SK_Listing_Date,Rank_MB_Listing_Date,Rank_ON_Listing_Date,Rank_NB_Listing_Date,Rank_NS_Listing_Date,Rank_PEI_Listing_Date,Rank_NL_Listing_Date,Rank_QC_Listing_Date,Rank_1,Rank_2,Rank_3,Rank_4,Rank_5,Rank_6,Rank_7,Rank_8,Rank_9,Rank_10,Total_population_coverage_(incl_QC),Date_>_50%_Cumulative_Ranking,Date_>_80%_Cumulative_Ranking,NOC_to_CADTH_Submission,NOC_to_INESSS_Submission,CADTH_Duration,INESSS_Duration,CADTH_to_pCPA_Initiation,INESSS_to_pCPA_Initiation,pCPA_LOI_to_LOE,pCPA_to_Listing_BC_Date,pCPA_to_Listing_AB_Date,pCPA_to_Listing_SK_Date,pCPA_to_Listing_MB_Date,pCPA_to_Listing_ON_Date,pCPA_to_Listing_NB_Date,pCPA_to_Listing_NS_Date,pCPA_to_Listing_PEI_Date,pCPA_to_Listing_NL_Date,pCPA_to_Listing_QC_Date,pCPA_to_Listing_Nat_Avg_(excl_QC),pCPA_Completion_to_1st_Listing_(excl_QC),pCPA_to_Listing_Nat_Avg_(incl_QC),pCPA_Completion_to_1st_Listing_(incl_QC),pCPA_Completion_to_80%_Listing,NOC_to_Listing_BC_Date,NOC_to_Listing_AB_Date,NOC_to_Listing_SK_Date,NOC_to_Listing_MB_Date,NOC_to_Listing_ON_Date,NOC_to_Listing_NB_Date,NOC_to_Listing_NS_Date,NOC_to_Listing_PEI_Date,NOC_to_Listing_NL_Date,NOC_to_Listing_QC_Date,NOC_to_Listing_Nat_Avg_(excl_QC),NOC_to_Listing_Nat_Avg_(inc_QC),"NOC_to_1st_Provincial_Listing
(unique_at_product/indication_level)_exc_QC","CADTH_Submission_to_1st_Provincial_Listing
exc_QC",CADTH_Recommendation_to_1st_Provincial_Listing_exc_QC,HTA_Rec_to_BC_Listing_Date,HTA_Rec_to_AB_Listing_Date,HTA_Rec_to_SK_Listing_Date,HTA_Rec_to_MB_Listing_Date,HTA_Rec_to_ON_Listing_Date,HTA_Rec_to_NB_Listing_Date,HTA_Rec_to_NS_Listing_Date,HTA_Rec_to_PEI_Listing_Date,HTA_Rec_to_NL_Listing_Date,HTA_Rec_to_QC_Listing_Date,Nat`l_Avg_(excl_QC),NOC_to_CADTH_Rec,NOC_to_INESSS_Rec,CADTH_Rec_to_pCPA_Decision,INESSS_Rec_to_pCPA_Decision,NOC_to_80%_Listing,First_Provincial_Listing_to_80%_Listing_(incl_QC),First_Provincial_Listing_to_80%_Listing_(excl_QC),First_Provincial_Listing_to_50%_Listing_(incl_QC),50%_Listing_to_80%_Listing,HC_Sub_to_CADTH_Rec
381,Mayzent,siponimod,Novartis ,Y,N,N,Y,N,N,N,N,Y,01-Feb-19,20-Feb-20,384.0,CADTH & INESSS,26-Sep-19,pre-NOC,Initial,Secondary progressive multiple sclerosis,Completed,21-Jul-20,Reimburse with clinical criteria and/or conditions,Conditional,25-Oct-19,pre-NOC,New Drug,Progressive secondary multiple sclerosis,Completed,14-May-20,Inscription - Avec conditions,Conditional,1st,27-Apr-21,22-Oct-21,Negotiation,Completed with Agreements,SA,SA,EDS,EDS,EAP,SA,EDS,SA,SA,EM,2022-01-25,2021-12-01,2022-03-01,2022-02-24,2022-03-25,2022-03-24,2022-06-27,2023-03-27,2022-04-05,2021-12-15,01-Dec-21,2021-12-01,3.0,1.0,5.0,4.0,7.0,6.0,9.0,10.0,8.0,2.0,4.50%,33.00%,53.30%,58.80%,64.50%,65.40%,97.70%,98.30%,99.60%,100.00%,100.00%,25-Jan-22,25-Mar-22,-147.0,-118.0,299.0,202.0,280.0,348.0,178.0,95.0,40.0,130.0,125.0,154.0,153.0,248.0,521.0,165.0,54.0,181.0,40.0,169.0,40.0,154.0,705.0,650.0,740.0,735.0,764.0,763.0,858.0,1131.0,775.0,664.0,791.0,779.0,650.0,797.0,498.0,553.0,498.0,588.0,583.0,612.0,611.0,706.0,979.0,623.0,580.0,639.0,152.0,84.0,458.0,526.0,764.0,114.0,114.0,55.0,59.0,536
382,MDK-nitisinone,nitisinone,MendeliKABS Inc,N,N,N,Y,N,N,N,N,N,01-Mar-16,20-Sep-16,203.0,CADTH & INESSS,29-Sep-17,post-NOC,Initial,Hereditary tyrosinemia type 1,Completed,25-Apr-18,Reimburse with clinical criteria and/or conditions,Conditional,04-Sep-17,post-NOC,New Drug,hereditary Type 1 tyrosinemia,Completed,01-Feb-18,Avis d'inscription à la Liste Établissements - Médicament d'exception - Avec conditions,Conditional,1st,20-Aug-18,28-Nov-18,Negotiation,Completed with Agreements,E,SA,NR,EDS,NR,SA,NR,NR,UR,EM,2019-02-26,2019-02-01,,2019-05-31,,2019-12-19,,,,2018-02-01,01-Feb-19,2018-02-01,3.0,2.0,,4.0,,5.0,,,,1.0,28.60%,33.00%,53.30%,58.80%,59.70%,,,,,,59.70%,26-Feb-19,,374.0,349.0,208.0,150.0,117.0,200.0,100.0,90.0,65.0,,184.0,,386.0,,,,-300.0,181.0,65.0,85.0,-300.0,,889.0,864.0,,983.0,,1185.0,,,,499.0,980.0,884.0,864.0,490.0,282.0,307.0,282.0,,401.0,,603.0,,,,0.0,398.0,582.0,499.0,217.0,300.0,,,,390.0,,785
383,Mekinist,trametinib,GlaxoSmithKline,Y,N,N,Y,Y,Y,N,Y,N,,18-Jul-13,,CADTH & INESSS,06-May-13,pre-NOC,New drug,Metastatic Melanoma,Completed,22-Oct-13,Cond'l on Cost,Conditional,01-Nov-13,post-NOC,New Drug,BRAF+ metastatic melanoma,Completed,03-Feb-14,Avis de refus - À moins que le rapport entre le coût et l'efficacité soit modifié pour atteindre un niveau acceptable,Conditional,1st,18-Nov-13,25-Jun-14,Negotiation,Completed with Agreements,Funded,Funded,Funded,Funded,Funded,Funded,Funded,Funded,Funded,EM,2016-12-01,2016-10-18,2014-09-15,2014-10-16,2014-08-19,2014-10-03,2016-09-01,2018-10-29,2014-08-01,2014-02-03,01-Aug-14,2014-02-03,9.0,8.0,4.0,6.0,3.0,5.0,7.0,10.0,2.0,1.0,28.60%,29.30%,61.50%,67.20%,68.10%,73.60%,74.90%,79.40%,99.60%,100.00%,100.00%,19-Aug-14,01-Dec-16,-73.0,106.0,169.0,94.0,27.0,-77.0,219.0,890.0,846.0,82.0,113.0,55.0,100.0,799.0,1587.0,37.0,-142.0,501.0,37.0,437.0,-142.0,890.0,1232.0,1188.0,424.0,455.0,397.0,442.0,1141.0,1929.0,379.0,200.0,843.0,779.0,379.0,452.0,283.0,1136.0,1092.0,328.0,359.0,301.0,346.0,1045.0,1833.0,283.0,0.0,747.0,96.0,200.0,246.0,142.0,1232.0,1032.0,853.0,197.0,835.0,41569
385,Mictoryl (ped),propiverine hydrochloride,Duchesnay,N,N,N,Y,N,N,N,N,N,01-Mar-16,05-Jan-17,310.0,CADTH & INESSS,14-Oct-16,pre-NOC,Initial,"Overactive bladder (OAB), pediatric",Completed,19-Apr-17,Reimburse with clinical criteria and/or conditions,Conditional,19-Aug-17,post-NOC,New Drug,"Overactive bladder (OAB), pediatric",Completed,01-Feb-18,Avis d'inscription aux listes des médicaments - Médicament d'exception,Conditional,1st,30-Aug-17,12-Feb-18,Negotiation,Completed with Agreements,NR,RB,EDS,EDS,LU,SA,EDS,SA,SA,EM,,2018-06-01,2018-07-01,2018-07-19,2018-05-31,2018-06-11,2020-07-31,2021-10-25,2018-09-12,2018-05-24,31-May-18,2018-05-24,,3.0,5.0,6.0,2.0,4.0,8.0,9.0,7.0,1.0,28.60%,60.80%,65.30%,66.20%,71.90%,77.40%,78.10%,79.40%,79.70%,,79.70%,31-May-18,,-83.0,226.0,187.0,166.0,133.0,-155.0,166.0,,109.0,139.0,157.0,108.0,119.0,900.0,1351.0,212.0,101.0,387.0,108.0,355.0,101.0,,,512.0,542.0,560.0,511.0,522.0,1303.0,1754.0,615.0,504.0,790.0,758.0,511.0,594.0,407.0,,408.0,438.0,456.0,407.0,418.0,1199.0,1650.0,511.0,112.0,686.0,104.0,392.0,299.0,11.0,,,,7.0,,414
386,Mifegymiso,mifepristone and misoprostol,Celopharma ,N,N,N,Y,N,N,N,N,N,,29-Jul-15,,CADTH,07-Oct-16,post-NOC,Initial,Medical termination of pregnancy,Completed,18-Apr-17,Reimburse,Positive,,,,,,,,,1st,21-Apr-17,05-Jul-17,Negotiation,Completed with Agreements,FB,FB,FB,FB,FB,FB,EDS,FB,FB,FB,2017-07-25,2017-07-24,2017-09-05,2017-07-20,2017-08-10,2017-07-07,2017-11-01,2017-11-08,2018-09-01,2017-12-15,07-Jul-17,2017-07-07,4.0,3.0,6.0,2.0,5.0,1.0,7.0,8.0,10.0,9.0,0.90%,6.40%,10.90%,31.10%,63.40%,69.10%,70.40%,70.70%,99.30%,100.00%,100.00%,10-Aug-17,15-Dec-17,436.0,,193.0,,3.0,,75.0,20.0,19.0,62.0,15.0,36.0,2.0,119.0,126.0,423.0,163.0,91.0,2.0,99.0,2.0,163.0,727.0,726.0,769.0,722.0,743.0,709.0,826.0,833.0,1130.0,870.0,798.0,806.0,709.0,273.0,80.0,98.0,97.0,140.0,93.0,114.0,80.0,197.0,204.0,501.0,,169.0,629.0,,78.0,,870.0,161.0,161.0,34.0,127.0,42843
389,Monoferric,Iron (III) Isomaltoside 1000,Pharmacosmos A/S,N,N,N,Y,N,N,N,N,N,01-Jul-16,22-Jun-18,721.0,CADTH & INESSS,26-Jun-19,post-NOC,Initial,Iron deficiency anemia,Completed,25-Mar-20,Reimburse with clinical criteria and/or conditions,Conditional,20-Apr-18,pre-NOC,New Drug,Iron deficiency anemia,Completed,17-Oct-18,Inscription,Positive,1st,21-Jul-20,02-Feb-21,Negotiation,Completed with Agreements,SA,SA,,EDS,LU,SA,EDS,,SA,FB,2021-10-06,2021-05-01,,2022-06-01,2021-02-26,2021-04-22,2022-03-21,,2021-12-29,2018-11-15,26-Feb-21,2018-11-15,5.0,4.0,,8.0,2.0,3.0,7.0,,6.0,1.0,28.60%,60.80%,61.70%,66.20%,86.40%,87.10%,88.40%,93.90%,,,93.90%,26-Feb-21,06-Oct-21,369.0,-63.0,273.0,180.0,118.0,643.0,196.0,246.0,88.0,,484.0,24.0,79.0,412.0,,330.0,-810.0,238.0,24.0,107.0,-810.0,246.0,1202.0,1044.0,,1440.0,980.0,1035.0,1368.0,,1286.0,146.0,1194.0,1063.0,980.0,611.0,338.0,560.0,402.0,,798.0,338.0,393.0,726.0,,644.0,29.0,552.0,642.0,117.0,314.0,839.0,1202.0,1056.0,222.0,834.0,222.0,1363
392,Movapo,apomorphine hydrochloride,Paladin Labs ,N,N,N,N,N,N,N,N,N,,22-Nov-16,,CADTH & INESSS,06-Jul-17,post-NOC,Initial,Parkinson's disease,Completed,23-Jan-18,Reimburse with clinical criteria and/or conditions,Conditional,19-Aug-17,post-NOC,New Drug,Parkinson,Completed,01-Feb-18,Avis d'inscription aux listes des médicaments - Médicament d'exception - Avec conditions,Conditional,1st,29-Jun-18,27-Mar-19,Negotiation,Completed with Agreements,SA,SA,EDS,EDS,EAP,SA,EDS,UR,SA,EM,2019-11-26,2019-06-01,2019-05-01,2019-08-22,2019-08-22,2019-08-26,2019-05-01,,2021-01-20,2019-05-23,01-May-19,2019-05-01,8.0,4.0,1.0,5.0,6.0,7.0,2.0,,9.0,3.0,5.70%,7.00%,35.60%,40.10%,45.60%,77.80%,78.70%,99.00%,99.60%,,99.60%,22-Aug-19,26-Nov-19,226.0,270.0,201.0,166.0,157.0,148.0,271.0,244.0,66.0,35.0,148.0,148.0,152.0,35.0,,665.0,57.0,187.0,35.0,172.0,35.0,244.0,1099.0,921.0,890.0,1003.0,1003.0,1007.0,890.0,,1520.0,912.0,1042.0,1027.0,890.0,664.0,463.0,672.0,494.0,463.0,576.0,576.0,580.0,463.0,,1093.0,476.0,615.0,427.0,436.0,428.0,419.0,1099.0,209.0,209.0,113.0,96.0,43123
393,Mvasi,bevacizumab,Amgen ,Y,Y,Y,Y,Y,N,N,N,N,01-Feb-17,30-Apr-18,453.0,CADTH & INESSS,03-Oct-18,post-NOC,New drug,Metastatic Colorectal Cancer / Non-Small Cell Lung Cancer Biosimilar,Completed,14-Jan-19,,,,,New Drug,Metastatic Colorectal Cancer / Non-Small Cell Lung Cancer Biosimilar,Completed,13-Feb-19,Inscription - Avec conditions,Conditional,1st,28-Feb-19,08-Jul-19,Negotiation,Completed with Agreements,Funded,Under provincial consideration,Funded,Under provincial consideration,Funded,Under provincial consideration,Under provincial consideration,Funded,Under provincial consideration,EM,2019-11-01,,2020-01-27,,2019-08-19,,,2019-10-01,,2019-11-14,19-Aug-19,2019-08-19,3.0,,5.0,,1.0,,,2.0,,4.0,32.20%,32.60%,52.80%,81.40%,87.10%,,,,,,87.10%,01-Nov-19,14-Nov-19,156.0,,103.0,,45.0,15.0,130.0,116.0,,203.0,,42.0,,,85.0,,129.0,112.0,42.0,115.0,42.0,129.0,550.0,,637.0,,476.0,,,519.0,,563.0,546.0,549.0,476.0,320.0,217.0,291.0,,378.0,,217.0,,,260.0,,274.0,287.0,259.0,289.0,175.0,145.0,563.0,87.0,87.0,74.0,13.0,712
395,Mylotarg,gemtuzumab ozogamicin,Pfizer,Y,Y,N,Y,Y,Y,Y,Y,Y,01-Feb-19,28-Nov-19,300.0,CADTH & INESSS,09-Aug-19,pre-NOC,New drug,"Acute Myeloid Leukemia:In combination therapy with daunorubicin (DNR) and cytarabine (AraC) for the treatment of adult patients with previously untreated, de novo CD33-positive acute myeloid leukemia (AML), except acute promyelocytic leukemia",Completed,02-Apr-20,Fund,Positive,27-Sep-19,pre-NOC,New Drug,"Acute Myeloid Leukemia:In combination therapy with daunorubicin (DNR) and cytarabine (AraC) for the treatment of adult patients with previously untreated, de novo CD33-positive acute myeloid leukemia (AML), except acute promyelocytic leukemia",Completed,08-Apr-20,Inscription - Avec conditions,Conditional,1st,17-Jun-20,12-Aug-20,Negotiation,Completed with Agreements,Funded,Funded,Funded,Funded,Funded,Under provincial consideration,Under provincial consideration,Under provincial consideration,Under provincial consideration,EM,2021-02-01,2022-10-31,2021-01-01,2022-09-13,2021-11-30,,,,,2020-09-30,01-Jan-21,2020-09-30,3.0,6.0,2.0,5.0,4.0,,,,,1.0,28.60%,34.30%,54.60%,86.80%,92.30%,96.80%,,,,,96.80%,01-Feb-21,30-Nov-21,-111.0,-62.0,237.0,194.0,76.0,70.0,56.0,173.0,810.0,142.0,762.0,475.0,,,,,49.0,472.0,142.0,402.0,49.0,475.0,431.0,1068.0,400.0,1020.0,733.0,,,,,307.0,730.0,660.0,400.0,511.0,274.0,305.0,942.0,274.0,894.0,607.0,,,,,175.0,604.0,126.0,132.0,132.0,126.0,733.0,426.0,333.0,124.0,302.0,426
396,Myrbetriq,mirabegron,Astellas Pharma,N,N,N,Y,N,N,N,N,N,,06-Mar-13,,CADTH & INESSS,27-Nov-13,post-NOC,Initial,"Bladder, overactive",Completed,12-Nov-14,List with criteria/condition,Conditional,,,New Drug,"Bladder, Overactive ",Completed,03-Feb-14,Ajout aux listes de médicaments - Médicament d'exception,Conditional,1st,14-Jan-15,08-Apr-15,Negotiation,Completed with Agreements,NR,SA,EDS,FB,LU,SA,EDS,SA,SA,EM,,2015-09-01,2015-07-01,2015-07-22,2015-05-28,2015-10-14,2015-06-29,2018-03-26,2015-10-01,2014-02-03,28-May-15,2014-02-03,,6.0,4.0,5.0,2.0,8.0,3.0,9.0,7.0,1.0,28.60%,60.80%,62.10%,67.80%,73.40%,77.80%,78.50%,79.40%,79.70%,,79.70%,28-May-15,,266.0,,350.0,,63.0,345.0,84.0,,146.0,84.0,105.0,50.0,189.0,82.0,1083.0,176.0,-429.0,239.0,50.0,165.0,-429.0,,,909.0,847.0,868.0,813.0,952.0,845.0,1846.0,939.0,334.0,1002.0,928.0,813.0,547.0,197.0,,293.0,231.0,252.0,197.0,336.0,229.0,1230.0,323.0,0.0,386.0,616.0,334.0,147.0,429.0,,,,479.0,,41955
405,Neupro (Resub),rotigotine,UCB ,N,N,N,Y,N,N,N,N,N,,21-Mar-13,,CADTH & INESSS,21-May-15,post-NOC,Resubmission,Parkinsons Disease,Completed,19-Nov-15,List with clinical criteria and/or conditions,Conditional,01-Feb-15,post-NOC,Resubmission,Parkinsons Disease,Completed,01-Jun-15,Avis de refus - Valeur thérapeutique,Negative,1st,09-Feb-16,23-Jun-17,Negotiation,Completed with Agreements,SA,SA,EDS,EDS,LU,SA,EDS,SA,SA,EM,2018-11-13,2017-10-01,2017-10-01,2017-10-19,2017-09-28,2017-10-24,2017-11-01,2017-11-27,2017-12-01,2017-10-18,28-Sep-17,2017-09-28,10.0,2.0,3.0,5.0,1.0,6.0,7.0,8.0,9.0,4.0,32.20%,36.70%,42.40%,71.00%,76.50%,77.40%,78.70%,79.10%,79.70%,100.00%,100.00%,18-Oct-17,13-Nov-18,791.0,682.0,182.0,120.0,82.0,253.0,500.0,508.0,100.0,100.0,118.0,97.0,123.0,131.0,157.0,161.0,117.0,166.0,97.0,161.0,97.0,508.0,2063.0,1655.0,1655.0,1673.0,1652.0,1678.0,1686.0,1712.0,1716.0,1672.0,1721.0,1716.0,1652.0,861.0,679.0,1090.0,682.0,682.0,700.0,679.0,705.0,713.0,739.0,743.0,870.0,748.0,973.0,802.0,582.0,753.0,2063.0,411.0,411.0,20.0,391.0,42327
408,Nexplanon,etonogestrel,Merck Canada Inc.,Y,N,N,N,N,N,N,N,N,01-May-19,25-May-20,390.0,CADTH & INESSS,03-Jun-20,post-NOC,Initial,Prevention of pregnany,Completed,20-Oct-20,Reimburse with clinical criteria and/or conditions,Conditional,01-Nov-19,pre-NOC,New drug,Prevention of pregnancy,Completed,05-Nov-20,Inscription,Positive,1st,24-Feb-21,20-Sep-21,Negotiation,Completed with Agreements,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,2021-12-07,2021-11-01,2021-11-01,2022-02-24,2021-12-17,2021-11-18,2021-12-11,2021-11-22,2021-12-01,2021-11-10,01-Nov-21,2021-11-01,7.0,1.0,2.0,10.0,9.0,4.0,8.0,5.0,6.0,3.0,4.50%,10.20%,38.80%,39.70%,40.00%,40.70%,60.90%,62.20%,94.50%,100.00%,100.00%,07-Dec-21,17-Dec-21,9.0,-206.0,139.0,370.0,127.0,111.0,208.0,78.0,42.0,42.0,157.0,88.0,59.0,82.0,63.0,72.0,51.0,76.0,42.0,73.0,42.0,88.0,561.0,525.0,525.0,640.0,571.0,542.0,565.0,546.0,555.0,534.0,559.0,556.0,525.0,516.0,377.0,413.0,377.0,377.0,492.0,423.0,394.0,417.0,398.0,407.0,370.0,411.0,148.0,164.0,335.0,319.0,571.0,46.0,46.0,36.0,10.0,538
413,Nitisinone,nitisinone,Cycle Pharmaceuticals Ltd,N,N,N,Y,N,N,N,N,N,01-May-16,04-Nov-16,187.0,CADTH & INESSS,25-Jan-18,post-NOC,Initial,Hereditary tyrosinemia type 1,Completed,23-Aug-18,Reimburse with clinical criteria and/or conditions,Conditional,,,New Drug,hereditary Type 1 tyrosinemia,Completed,01-Jun-17,Avis d'inscription aux listes des médicaments - Médicament d'exception - Avec conditions,Conditional,1st,21-Aug-18,28-Nov-18,Negotiation,Completed with Agreements,E,SA,NR,NR,NR,NR,EDS,NR,UR,EM,2019-02-26,2019-02-01,,,,,2019-08-01,,,2018-02-01,01-Feb-19,2018-02-01,3.0,2.0,,,,,4.0,,,1.0,28.60%,33.00%,53.30%,54.60%,,,,,,,54.60%,26-Feb-19,,447.0,,210.0,,-2.0,446.0,99.0,90.0,65.0,,,,,246.0,,,-300.0,134.0,65.0,25.0,-300.0,,844.0,819.0,,,,,1000.0,,,454.0,888.0,779.0,819.0,372.0,162.0,187.0,162.0,,,,,343.0,,,245.0,231.0,657.0,209.0,97.0,545.0,,,,390.0,,844
414,Nivestym,filgrastim,Pfizer ,Y,Y,Y,N,N,N,N,N,N,01-Apr-18,16-Apr-20,746.0,CADTH & INESSS,01-Nov-18,pre-NOC,Initial,Prevention or treatment of neutropenia in various indications,Withdrawn,31-May-19,Cancelled or withdrawn,,05-Jun-20,post-NOC,New Drug,Neutropenia,Completed,09-Sep-20,Inscription - Avec conditions,Conditional,1st,27-Apr-20,17-Jun-20,Negotiation,Completed with Agreements,SA,SA,EDS,EDS,FB,SA,UR,SA,SA,EM,2022-03-22,2020-12-01,2020-09-01,2020-10-22,2020-07-31,2020-11-26,,2021-10-25,2021-06-09,2020-09-30,31-Jul-20,2020-07-31,9.0,6.0,2.0,4.0,1.0,5.0,,8.0,7.0,3.0,32.20%,38.00%,66.50%,72.10%,73.00%,77.40%,78.10%,78.40%,98.70%,,98.70%,30-Sep-20,22-Mar-22,-532.0,50.0,211.0,96.0,332.0,-135.0,51.0,643.0,167.0,76.0,127.0,44.0,162.0,,495.0,357.0,105.0,259.0,44.0,242.0,44.0,643.0,705.0,229.0,138.0,189.0,106.0,224.0,,557.0,419.0,167.0,321.0,304.0,106.0,638.0,427.0,1026.0,550.0,459.0,510.0,427.0,545.0,,878.0,740.0,21.0,642.0,-321.0,146.0,383.0,-84.0,705.0,599.0,599.0,61.0,538.0,425
415,Nubeqa,darolutamide,Bayer,Y,N,N,Y,Y,N,N,N,N,01-Apr-19,20-Feb-20,325.0,CADTH & INESSS,27-Aug-19,pre-NOC,New drug,Non-metastatic castration-resistant prostate cancer,Completed,22-Apr-20,Cond'l on Cost,Conditional,06-Sep-19,pre-NOC,New Drug,Non-metastatic castration-resistant prostate cancer,Completed,08-Apr-20,Inscription - Avec conditions,Conditional,1st,23-Oct-20,18-Feb-21,Negotiation,Completed with Agreements,Funded,Funded,Funded,Funded,Funded,Funded,Funded,Funded,Funded,EM,2021-08-01,2021-05-31,2021-08-01,2021-08-05,2021-06-08,2021-08-19,2021-05-30,2023-01-23,2021-08-11,2021-04-14,30-May-21,2021-04-14,5.0,3.0,6.0,7.0,4.0,9.0,2.0,10.0,8.0,1.0,28.60%,29.90%,34.30%,66.60%,86.80%,92.60%,98.10%,98.80%,99.60%,100.00%,100.00%,08-Jun-21,01-Aug-21,-177.0,-167.0,239.0,215.0,184.0,198.0,118.0,164.0,102.0,164.0,168.0,110.0,182.0,101.0,704.0,174.0,55.0,208.0,101.0,192.0,55.0,164.0,528.0,466.0,528.0,532.0,474.0,546.0,465.0,1068.0,538.0,419.0,572.0,556.0,465.0,642.0,403.0,466.0,404.0,466.0,470.0,412.0,484.0,403.0,1006.0,476.0,371.0,510.0,62.0,48.0,302.0,316.0,528.0,109.0,63.0,55.0,54.0,387
417,Nucala,mepolizumab,GlaxoSmithKline,Y,Y,N,Y,N,N,N,N,N,,03-Dec-15,,CADTH & INESSS,18-Dec-15,post-NOC,Initial,"Asthma, severe eosinophilic",Completed,16-Jun-16,Reimburse with clinical criteria and/or conditions,Conditional,22-Mar-16,post-NOC,New Drug,"Asthma, severe eosinophilic",Completed,03-Oct-16,Avis de refus dinscription aux listes des médicaments  Médicament dexception  À moins que certaines conditions soient respectées,Conditional,1st,21-Oct-16,24-Nov-17,Negotiation,Completed with Agreements,SA,SA,EDS,EDS,EAP,SA,EDS,SA,SA,EM,2018-11-13,2018-05-01,2018-07-01,2018-04-19,2018-03-15,2018-02-12,2019-02-01,2021-03-15,2018-10-01,2018-02-01,12-Feb-18,2018-02-01,8.0,5.0,6.0,4.0,3.0,2.0,9.0,10.0,7.0,1.0,28.60%,29.50%,61.70%,67.20%,71.70%,77.40%,78.10%,98.30%,99.60%,100.00%,100.00%,15-Mar-18,13-Nov-18,15.0,110.0,181.0,195.0,127.0,18.0,399.0,354.0,158.0,219.0,146.0,111.0,80.0,434.0,1207.0,311.0,69.0,336.0,80.0,309.0,69.0,354.0,1076.0,880.0,941.0,868.0,833.0,802.0,1156.0,1929.0,1033.0,791.0,1058.0,1031.0,802.0,787.0,606.0,880.0,684.0,745.0,672.0,637.0,606.0,960.0,1733.0,837.0,486.0,862.0,196.0,305.0,526.0,417.0,1076.0,285.0,274.0,42.0,243.0,42537
419,Nucala (Advice),mepolizumab,GlaxoSmithKline,Y,Y,N,Y,N,N,N,N,N,,03-Dec-15,,CADTH & INESSS,24-Oct-18,post-NOC,Request for Advice,"Asthma, severe eosinophilic",Completed,27-Mar-19,Reimburse with clinical criteria and/or conditions,Conditional,,,New Drug,"Asthma, severe eosinophilic",Completed,05-Sep-18,Avis de modification d'une indication reconnue aux listes des médicaments - Médicament d'exception- Avec conditions,Conditional,none,,,,,SA,SA,EDS,EDS,EAP,SA,EDS,SA,SA,EM,2019-10-29,2019-08-01,2019-10-01,2020-03-02,2019-07-23,2019-07-04,2019-09-01,2021-03-15,2020-12-21,2019-07-04,04-Jul-19,2019-07-04,7.0,4.0,6.0,8.0,3.0,1.0,5.0,10.0,9.0,2.0,0.90%,29.50%,61.70%,66.20%,67.50%,73.20%,93.40%,99.00%,99.60%,100.00%,100.00%,23-Jul-19,29-Oct-19,1056.0,,154.0,,,,,,,,,,,,,,,,,,,43767.0,1426.0,1337.0,1398.0,1551.0,1328.0,1309.0,1368.0,1929.0,1845.0,1309.0,1499.0,1480.0,1309.0,253.0,99.0,216.0,127.0,188.0,341.0,118.0,99.0,158.0,719.0,635.0,302.0,289.0,1210.0,1007.0,,,1426.0,117.0,117.0,19.0,98.0,43551
