"Trade_Name
",Chemical,Manufacturer,Top_15_Brand_Corporation,Biologic_(by_Product),Biosimilar,NAS,Oncology,Rare_Disease_(FDA),Rare_Disease_(EMA),Rare_Disease_(FDA_or_EMA),HC-HTA_Aligned_Review,Health_Canada_Submission_Date,NOC_Date,Health_Canada_Review_Time,HTA_Agency,CADTH_Submission_Date,CADTH_Timing_of__Submission,CADTH_Submission_Type_-_Agency_Specific,CADTH_Indication,CADTH_Review_Status,CADTH_Final_Recommendation/Withdrawn_Date,CADTH_Recommended_-_Agency_Specific,CADTH_Decision_Type_-_Standardized,INESSS_Submission_Date,INESSS_Timing_of__Submission,INESSS_Submission_Type_-_Agency_Specific,INESSS_Indication,INESSS_Review_Status,INESSS_Final_Recommendation/Withdrawn_Date,INESSS_Recommended_-_Agency_Specific,INESSS_Decision_Type_-_Standardized,pCPA_Negotiation,pCPA_First_Date,pCPA_Final_Date,pCPA_Type,pCPA_Negotiation_Outcome,BC_Status,AB_Status,SK_Status,MB_Status,ON_Status,NB_Status,NS_Status,PEI_Status,NL_Status,QC_Status,Listing_BC_Date,Listing_AB_Date,Listing_SK_Date,Listing_MB_Date,Listing_ON_Date,Listing_NB_Date,Listing_NS_Date,Listing_PEI_Date,Listing_NL_Date,Listing_QC_Date,First_Prov_Listing_(excl_QC),First_Prov_Listing_(inc_QC),Rank_BC_Listing_Date,Rank_AB_Listing_Date,Rank_SK_Listing_Date,Rank_MB_Listing_Date,Rank_ON_Listing_Date,Rank_NB_Listing_Date,Rank_NS_Listing_Date,Rank_PEI_Listing_Date,Rank_NL_Listing_Date,Rank_QC_Listing_Date,Rank_1,Rank_2,Rank_3,Rank_4,Rank_5,Rank_6,Rank_7,Rank_8,Rank_9,Rank_10,Total_population_coverage_(incl_QC),Date_>_50%_Cumulative_Ranking,Date_>_80%_Cumulative_Ranking,NOC_to_CADTH_Submission,NOC_to_INESSS_Submission,CADTH_Duration,INESSS_Duration,CADTH_to_pCPA_Initiation,INESSS_to_pCPA_Initiation,pCPA_LOI_to_LOE,pCPA_to_Listing_BC_Date,pCPA_to_Listing_AB_Date,pCPA_to_Listing_SK_Date,pCPA_to_Listing_MB_Date,pCPA_to_Listing_ON_Date,pCPA_to_Listing_NB_Date,pCPA_to_Listing_NS_Date,pCPA_to_Listing_PEI_Date,pCPA_to_Listing_NL_Date,pCPA_to_Listing_QC_Date,pCPA_to_Listing_Nat_Avg_(excl_QC),pCPA_Completion_to_1st_Listing_(excl_QC),pCPA_to_Listing_Nat_Avg_(incl_QC),pCPA_Completion_to_1st_Listing_(incl_QC),pCPA_Completion_to_80%_Listing,NOC_to_Listing_BC_Date,NOC_to_Listing_AB_Date,NOC_to_Listing_SK_Date,NOC_to_Listing_MB_Date,NOC_to_Listing_ON_Date,NOC_to_Listing_NB_Date,NOC_to_Listing_NS_Date,NOC_to_Listing_PEI_Date,NOC_to_Listing_NL_Date,NOC_to_Listing_QC_Date,NOC_to_Listing_Nat_Avg_(excl_QC),NOC_to_Listing_Nat_Avg_(inc_QC),"NOC_to_1st_Provincial_Listing
(unique_at_product/indication_level)_exc_QC","CADTH_Submission_to_1st_Provincial_Listing
exc_QC",CADTH_Recommendation_to_1st_Provincial_Listing_exc_QC,HTA_Rec_to_BC_Listing_Date,HTA_Rec_to_AB_Listing_Date,HTA_Rec_to_SK_Listing_Date,HTA_Rec_to_MB_Listing_Date,HTA_Rec_to_ON_Listing_Date,HTA_Rec_to_NB_Listing_Date,HTA_Rec_to_NS_Listing_Date,HTA_Rec_to_PEI_Listing_Date,HTA_Rec_to_NL_Listing_Date,HTA_Rec_to_QC_Listing_Date,Nat`l_Avg_(excl_QC),NOC_to_CADTH_Rec,NOC_to_INESSS_Rec,CADTH_Rec_to_pCPA_Decision,INESSS_Rec_to_pCPA_Decision,NOC_to_80%_Listing,First_Provincial_Listing_to_80%_Listing_(incl_QC),First_Provincial_Listing_to_80%_Listing_(excl_QC),First_Provincial_Listing_to_50%_Listing_(incl_QC),50%_Listing_to_80%_Listing,HC_Sub_to_CADTH_Rec
Kynmobi (Withdrawn),apomorphine hydrochloride,Sunovion Pharmaceuticals ,N,N,N,N,N,N,N,N,N,01-Aug-18,12-Jun-20,681,CADTH,25-Feb-19,pre-NOC,Initial,Parkinson's disease,Withdrawn,19-Jun-19,Cancelled or withdrawn,n/a,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,-473,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-359,,,,,,,,,322
Kyprolis,carfilzomib,Amgen ,Y,N,N,N,Y,Y,Y,Y,N,,22-Nov-16,,CADTH & INESSS,09-Sep-16,pre-NOC,New indication,Multiple myeloma (relapsed),Completed,30-Mar-17,Cond'l on Cost,Conditional,24-Nov-16,post-NOC,New Drug,Multiple Myeloma ((with lenalidomide),Completed,01-Jun-17,Avis de refus d'inscription à la Liste Établissements,Negative,1st,02-Jun-17,08-Dec-17,Negotiation,Completed with Agreements,Funded,Funded,Funded,Funded,Funded,Funded,Funded,Funded,Funded,EM,01-Apr-18,30-Oct-18,15-Aug-18,09-Mar-18,01-May-18,27-Sep-18,15-Oct-18,,03-Jul-18,05-Jul-18,09-Mar-18,09-Mar-18,2,9,6,1,3,7,8,,4,5,5.50%,25.80%,58.00%,58.70%,87.30%,93.00%,93.90%,95.20%,99.60%,,99.60%,01-May-18,05-Jul-18,-74,2,202,189,64,1,189,114,326,250,91,144,293,311,,207,209,217,91,216,91,209,495,707,631,472,525,674,692,,588,590,598,597,472,546,344,367,579,503,344,397,546,564,,460,399,470,128,191,253,190,590,118,118,53,65,42824
Kyprolis (with lenalidomide),carfilzomib (with lenalidomide),Amgen ,Y,N,N,Y,Y,Y,Y,Y,N,01-Jul-15,15-Jan-16,198,CADTH & INESSS,11-Dec-15,pre-NOC,New drug,Multiple Myeloma,Completed,11-Nov-16,Cond'l on Cost,Conditional,22-Mar-16,post-NOC,New Drug,Multiple Myeloma,Completed,03-Oct-16,Avis de refus d'inscription à la Liste Établissements,Negative,1st,14-Oct-16,08-Dec-17,Negotiation,Completed with Agreements,Funded,Funded,Funded,Funded,Funded,Funded,Funded,Funded,Funded,EM,01-Apr-18,30-Oct-18,15-Aug-18,09-Mar-18,01-May-18,27-Sep-18,15-Oct-18,,03-Jul-18,05-Jul-18,09-Mar-18,09-Mar-18,2,9,6,1,3,7,8,,4,5,5.50%,25.80%,58.00%,58.70%,87.30%,93.00%,93.90%,95.20%,99.60%,,99.60%,01-May-18,05-Jul-18,-35,67,336,195,-28,11,420,114,326,250,91,144,293,311,,207,209,217,91,216,91,209,807,1019,943,784,837,986,1004,,900,902,910,909,784,819,483,506,718,642,483,536,685,703,,599,640,609,301,262,392,431,902,118,118,53,65,499
Lancora,ivabradine,Servier,N,N,N,Y,N,N,N,N,N,,23-Dec-16,,CADTH & INESSS,08-Nov-16,pre-NOC,Initial,"Heart failure, NYHA class II or III",Completed,24-May-17,Reimburse with clinical criteria and/or conditions,Conditional,24-Mar-17,post-NOC,New Drug,treatment of heart failure,Completed,18-Oct-17,Avis d'inscription aux listes des médicaments - Médicament d'exception,Conditional,1st,08-Dec-17,22-Aug-18,Negotiation,Completed with Agreements,SA,SA,EDS,EDS,LU,SA,EDS,SA,SA,EM,30-Oct-18,01-Dec-18,01-Oct-18,24-Jan-19,31-Oct-18,17-Dec-18,01-Jan-19,01-Aug-19,18-Dec-18,27-Sep-18,01-Oct-18,27-Sep-18,3,5,2,9,4,6,8,10,7,1,28.60%,34.30%,54.60%,86.80%,91.20%,92.10%,92.80%,94.10%,99.60%,100.00%,100.00%,30-Oct-18,31-Oct-18,-45,91,197,208,198,51,257,69,101,40,155,70,117,132,344,118,36,127,40,118,36,70,676,708,647,762,677,724,739,951,725,643,734,725,647,692,495,524,556,495,610,525,572,587,799,573,344,582,152,299,455,308,677,34,30,33,1,42879
Lapelga,pegfilgrastim,Apobiologix,N,Y,Y,N,N,N,N,N,N,01-Jun-17,05-Apr-18,308,CADTH & INESSS,23-Feb-18,pre-NOC,Initial,Febrile neutropenia,Completed,30-Apr-18,Not Applicable: Biosimilar,n/a,01-Feb-18,pre-NOC,New Drug,Neutropenia,Completed,08-Aug-18,Avis d'inscription aux listes des médicaments - Médicament d'exception - Avec conditions,Conditional,1st,10-Oct-18,28-Feb-19,Negotiation,Completed with Agreements,NR,SA,UR,UR,FB,SA,EDS,SA,SA,EM,,01-Jun-19,,,30-Aug-19,04-Jul-19,22-Apr-20,20-Dec-21,09-Sep-20,29-Apr-20,01-Jun-19,01-Jun-19,,1,,,3,2,4,7,6,5,4.50%,5.30%,37.60%,38.90%,67.50%,68.10%,68.50%,,,,68.50%,29-Apr-20,,-41,-63,66,188,163,63,141,,93,,,183,126,419,1026,559,426,401,93,405,93,,,422,,,512,455,748,1355,888,755,730,734,422,463,397,,397,,,487,430,723,1330,863,630,705,25,125,304,204,,,,333,,333
Lartruvo,olaratumab,Eli Lilly ,N,Y,N,N,Y,Y,Y,Y,N,01-Apr-17,23-Nov-17,236,CADTH & INESSS,26-Oct-17,pre-NOC,New indication,Advanced Soft Tissue Sarcoma (STS),Completed,18-Apr-18,Cond'l on Cost,Conditional,05-Dec-17,post-NOC,New Indication,Advanced Soft Tissue Sarcoma (STS),Completed,06-Jun-18,Avis de refus d'inscription à la Liste Établissements - Valeur thérapeutique,Negative,1st,26-Jul-18,31-Jan-19,Negotiation,No Agreement Reached,Not funded,Not funded,Not funded,Not funded,Not funded,Not funded,Not funded,Not funded,Not funded,NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,-28,12,174,183,99,50,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,195,288,239,,,,,,382
Latuda,lurasidone,Sunovion Pharmaceuticals ,N,N,N,Y,N,N,N,N,N,,13-Jun-12,,CADTH & INESSS,03-Jul-12,post-NOC,Initial,schizophrenia,Completed,23-Jan-13,Do not list,Negative,,,New Drug,schizophrenia,Completed,01-Feb-13,Avis de refus - Valeur thérapeutique,Negative,none,31-Jan-14,,Do Not Negotiate,n/a,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,20,,204,,373,364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224,233,,,,,,,,41297
Latuda (Resub),lurasidone,Sunovion Pharmaceuticals ,N,N,N,Y,N,N,N,N,N,,13-Jun-12,,CADTH & INESSS,09-May-13,post-NOC,Resubmission,Schizophrenia ,Completed,20-Dec-13,List with criteria/condition,Conditional,,,New Drug,schizophrenia,Completed,01-Oct-13,Avis de refus - Valeur thérapeutique,Negative,none,01-Apr-14,,Negotiation by Province,n/a,NR,FB,EDS,FB,FB,FB,EDS,SA,FB,EM,,01-Oct-14,01-Jul-15,16-Oct-14,29-May-14,25-Jun-14,20-May-14,27-Apr-15,28-Nov-14,01-Oct-14,20-May-14,20-May-14,,4,9,6,2,3,1,8,7,5,1.30%,33.50%,34.40%,38.90%,67.50%,73.00%,73.70%,74.00%,79.70%,,79.70%,01-Oct-14,,330,,225,,102,182,,,,,,,,,,,,,,,,,,840,1113,855,715,742,706,1048,898,840,865,862,706,376,151,,285,558,300,160,187,151,493,343,365,310,555,475,,,,,,134,,41628
Ledaga,chlormethine hydrochloride,Recordati Rare Diseases Canada Inc.,N,N,N,Y,Y,N,Y,Y,N,01-Aug-20,08-Jun-21,311,CADTH & INESSS,21-Dec-20,pre-NOC,Initial,Topical treatment of mycosis fungoides-type cutaneous T-cell lymphoma (MF-type CTCL) in adult patients,Completed,24-Nov-21,Do Not Fund,Negative,23-Apr-21,pre-NOC,New Drug,Topical treatment of mycosis fungoides-type cutaneous T-cell lymphoma (MF-type CTCL) in adult patients,Completed,08-Oct-21,Inscription - Avec conditions,Conditional,1st,21-Oct-22,27-Jan-23,Negotiation,No Agreement Reached,Funded,Under provincial consideration,Under provincial consideration,Under provincial consideration,Under provincial consideration,Not funded,Under provincial consideration,Under provincial consideration,Under provincial consideration,UR,01-May-22,,,,,,,,,,01-May-22,01-May-22,1,,,,,,,,,,20.30%,,,,,,,,,,20.30%,,,-169,-46,338,168,331,378,98,-271,,,,,,,,,,-271,-271,-271,-271,,327,,,,,,,,,,327,327,327,496,158,158,,,,,,,,,,158,169,122,429,476,,,,,,480
Lemtrada,alemtuzumab ,Sanofi Genzyme,Y,Y,N,N,N,N,N,N,N,,12-Dec-13,,CADTH & INESSS,27-Nov-14,post-NOC,Initial,relapsing remitting multiple sclerosis,Completed,18-Jun-15,List with criteria/condition,Conditional,22-Mar-14,post-NOC,New Drug,relapsing remitting multiple sclerosis,Completed,01-Oct-14,Ajout aux listes de médicaments - Médicament d'exception,Conditional,1st,28-Jul-15,11-May-16,Negotiation,Completed with Agreements,SA,SA,EDS,EDS,EAP,SA,EDS,SA,NR,EM,06-Feb-18,01-Sep-16,01-Jul-16,21-Jul-16,06-Jul-16,24-Aug-16,01-Dec-16,07-Aug-17,,01-Oct-14,01-Jul-16,01-Oct-14,9,6,2,4,3,5,7,8,,1,28.60%,34.30%,66.50%,72.10%,73.00%,77.40%,78.70%,79.10%,99.30%,,99.30%,06-Jul-16,06-Feb-18,350,100,203,193,40,300,288,636,113,51,71,56,105,204,453,,-588,211,51,122,-588,636,1517,994,932,952,937,986,1085,1334,,293,1092,1003,932,582,379,964,441,379,399,384,433,532,781,,0,539,553,293,328,588,1517,1224,585,644,580,42173
Lemtrada (Withdrawn),alemtuzumab,Sanofi Genzyme,Y,Y,N,N,N,N,N,N,N,,12-Dec-13,,CADTH,01-Oct-13,pre-NOC,Initial,"Multiple Sclerosis, relapsing",Withdrawn,13-Aug-14,Cancelled or withdrawn,n/a,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,-72,,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244,,,,,,,,,41864
Lenvima,lenvatinib,Eisai Ltd.,N,N,N,Y,Y,Y,Y,Y,N,,22-Dec-15,,CADTH & INESSS,18-Apr-16,post-NOC,New drug,Differentiated Thyroid Cancer,Completed,20-Sep-16,Cond'l on Cost,Conditional,22-Mar-16,post-NOC,New Drug,Differentiated Thyroid Cancer,Completed,03-Oct-16,Avis d'inscription aux listes des médicaments - Médicament d'exception - Avec conditions: 10mg & 14mg----Avis de refus d'inscription aux listes des médicaments: 20mg & 24 mg,Conditional,1st,04-Apr-17,16-Jun-17,Negotiation,Completed with Agreements,Funded,Funded,Funded,Funded,Funded,Funded,Funded,Funded,Funded,EM,01-Oct-17,28-Nov-17,02-Aug-17,19-Oct-17,12-Sep-17,15-Dec-17,09-Apr-18,20-Feb-23,10-May-18,18-Aug-17,02-Aug-17,02-Aug-17,4,6,1,5,3,7,8,10,9,2,5.70%,34.30%,66.50%,86.80%,92.30%,96.80%,97.70%,99.00%,99.60%,100.00%,100.00%,12-Sep-17,01-Oct-17,118,91,155,195,196,183,73,107,165,47,125,88,182,297,2075,328,63,379,47,348,47,107,649,707,589,667,630,724,839,2617,870,605,921,890,589,471,316,376,434,316,394,357,451,566,2344,597,319,648,273,286,269,256,649,60,60,41,19,42633
Lenvima,lenvatinib,Eisai Ltd.,N,N,N,N,Y,N,N,N,N,01-Nov-16,13-Sep-17,316,CADTH & INESSS,08-Jun-18,post-NOC,New indication,Renal Cell Carcinoma (RCC),Completed,04-Jan-19,Do Not Fund,Negative,01-Aug-18,post-NOC,New Indication,Renal Cell Carcinoma (RCC),Completed,09-Jan-19,Refus d’inscription,Negative,None,31-Jan-19,,Do Not Negotiate,n/a,Not funded,Not funded,Not funded,Not funded,Not funded,Not funded,Not funded,Not funded,Not funded,NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,268,322,210,161,27,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478,483,,,,,,,,794
Lenvima,lenvatinib,Eisai Ltd.,N,N,N,N,Y,Y,Y,Y,N,01-Feb-18,19-Dec-18,321,CADTH & INESSS,08-Feb-19,post-NOC,New indication,Hepatocellular Carcinoma,Completed,24-Jul-19,Cond'l on Cost,Conditional,15-Mar-19,post-NOC,New Indication,Hepatocellular Carcinoma,Completed,11-Sep-19,Inscription - Avec conditions,Conditional,1st,27-Sep-19,08-Nov-19,Negotiation,Completed with Agreements,Funded,Funded,Funded,Funded,Funded,Funded,Funded,Funded,Funded,EM,01-Jul-20,10-Apr-20,01-Mar-20,02-Apr-20,05-Mar-20,16-Jul-20,29-Apr-22,12-Jul-21,02-Sep-20,18-Dec-19,01-Mar-20,18-Dec-19,6,5,2,4,3,7,10,9,8,1,28.60%,34.30%,66.50%,72.10%,76.50%,96.80%,97.70%,98.30%,98.70%,100.00%,100.00%,05-Mar-20,01-Jul-20,51,86,166,180,65,16,42,236,154,114,146,118,251,903,612,299,40,315,114,287,40,236,560,478,438,470,442,575,1227,936,623,364,639,611,438,387,221,343,261,221,253,225,358,1010,719,406,98,422,217,266,107,58,560,196,122,78,118,538
Lenvima and Keytruda,lenvatinib and pembrolizumab,Eisai ,N,N,N,N,Y,N,N,N,Y,01-Jun-21,04-May-22,337,CADTH & INESSS,15-Nov-21,pre-NOC,Initial,"Lenvatinib, in combination with pembrolizumab, for the treatment of adult patients with advanced or metastatic RCC with no prior systemic therapy for metastatic RCC.",Completed,23-Jun-22,Cond'l on Cost,Conditional,03-Dec-21,pre-NOC,New Indication,"Lenvatinib, in combination with pembrolizumab, for the treatment of adult patients with advanced or metastatic RCC with no prior systemic therapy for metastatic RCC.",Completed,27-Jul-22,Inscription - Avec conditions,Conditional,1st,21-Oct-22,,Active,n/a,Under provincial consideration,Under provincial consideration,Under provincial consideration,Under provincial consideration,Under provincial consideration,Under provincial consideration,Under provincial consideration,Under provincial consideration,Under provincial consideration,UR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,-170,-152,220,236,120,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,84,,,,,,,,387
Leqvio,inclisiran,Novartis Pharmaceuticals Canada Inc.,Y,N,N,Y,N,N,N,N,N,01-Sep-20,26-Jul-21,328,CADTH & INESSS,17-Mar-21,pre-NOC,Initial,Primary hypercholesterolemia,Completed,07-Feb-22,Do not reimburse,Negative,06-Aug-21,post-NOC,New Drug,"ndicated in adults with primary hypercholesterolemia (heterozygous familial and non-familial), as an adjunct to diet: • in combination with a statin or statin with other lipid-lowering therapies in patients unable to reach low density lipoprotein cholesterol (LDL-C) goals with the tolerated dose of a statin or, • alone or in combination with other lipid-lowering therapies in patients who are statin-intolerant, or for whom a statin is contraindicated.",Completed,29-Dec-21,Inscription - Avec conditions (hypercholestérolémie familiale hétérozygote),Conditional,none,,,,,NR,,,,,,,,,UR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,-131,11,327,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,156,,,,,,,,524
Libtayo,cemiplimab,Sanofi Genzyme,Y,Y,N,Y,Y,N,N,N,N,01-Aug-18,10-Apr-19,252,CADTH & INESSS,09-Jul-19,post-NOC,New drug,Cutaneous Squamous Cell Carcinoma,Completed,22-Jan-20,Cond'l on Cost,Conditional,09-Aug-19,post-NOC,New Drug,Cutaneous Squamous Cell Carcinoma,Completed,04-Mar-20,Inscription - Avec conditions,Conditional,1st,08-Jun-20,04-Nov-20,Negotiation,Completed with Agreements,Funded,Funded,Funded,Funded,Funded,Under provincial consideration,Under provincial consideration,,Under provincial consideration,EM,01-Feb-21,30-Apr-21,01-Jan-21,24-Nov-21,28-Feb-21,,,,,16-Dec-20,01-Jan-21,16-Dec-20,3,5,2,6,4,,,,,1,28.60%,34.30%,54.60%,86.80%,91.20%,96.80%,,,,,96.80%,01-Feb-21,28-Feb-21,90,121,197,208,138,96,149,89,177,58,385,116,,,,,42,165,58,145,42,116,663,751,632,959,690,,,,,616,739,719,632,542,345,376,464,345,672,403,,,,,287,452,287,329,287,245,690,74,58,47,27,539
Libtayo,cemiplimab,Sanofi Genzyme,Y,Y,N,N,Y,N,N,N,N,01-Dec-20,26-Oct-21,329,CADTH & INESSS,19-Aug-21,pre-NOC,Initial,For the treatment of patients with locally advanced or metastatic basal cell carcinoma (BCC) previously treated with a hedgehog pathway inhibitor (HHI).,Completed,04-Mar-22,Cond'l on Cost,Conditional,31-Dec-21,post-NOC,New Indication,For the treatment of patients with locally advanced or metastatic basal cell carcinoma (BCC) previously treated with a hedgehog pathway inhibitor (HHI).,Completed,01-Jun-22,Refus d’inscription,Negative,1st,03-Oct-22,,Active,n/a,Under provincial consideration,Under provincial consideration,Under provincial consideration,Under provincial consideration,Under provincial consideration,Under provincial consideration,Under provincial consideration,Under provincial consideration,Under provincial consideration,NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,-68,66,197,152,213,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,218,,,,,,,,458
Libtayo,cemiplimab,Sanofi Genzyme,Y,Y,N,N,Y,N,N,N,N,01-Dec-20,26-Oct-21,329,CADTH & INESSS,13-Oct-21,pre-NOC,Initial,"For the first-line treatment of adult patients with non-small cell lung cancer (NSCLC) expressing PD-L1 in ? 50% of tumour cells (Tumour Proportion Score [TPS] ? 50%), as determined by a validated test, with no EGFR, ALK or ROS1 aberrations, who have locally advanced NSCLC who are not candidates for surgical resection or definitive chemoradiation, or metastatic NSCLC.",Completed,02-Jun-22,Cond'l on Cost,Conditional,13-May-22,post-NOC,New Indication,"For the first-line treatment of adult patients with non-small cell lung cancer (NSCLC) expressing PD-L1 in ? 50% of tumour cells (Tumour Proportion Score [TPS] ? 50%), as determined by a validated test, with no EGFR, ALK or ROS1 aberrations, who have locally advanced NSCLC who are not candidates for surgical resection or definitive chemoradiation, or metastatic NSCLC.",Completed,02-Nov-22,Inscription - Avec conditions,Conditional,1st,03-Oct-22,,Active,n/a,Under provincial consideration,Under provincial consideration,Under provincial consideration,Under provincial consideration,Under provincial consideration,Under provincial consideration,Under provincial consideration,Under provincial consideration,Under provincial consideration,UR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,-13,199,232,173,123,-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,372,,,,,,,,548
Livtencity,maribavir,Takeda,Y,N,N,Y,N,Y,Y,Y,N,01-Mar-22,15-Sep-22,198,CADTH & INESSS,31-Mar-22,pre-NOC,Initial,Post-transplant cytomegalovirus infection,Completed,04-Nov-22,Reimburse with clinical criteria and/or conditions,Conditional,25-Nov-22,post-NOC,New Drug,CMV infection,under review,TBD,TBD,TBD,none,,,,,UR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,-168,71,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,248
Lixiana NVAF,edoxaban,Daiichi Sankyo,N,N,N,Y,N,N,N,N,N,01-Dec-15,04-Nov-16,339,CADTH & INESSS,09-Sep-16,pre-NOC,Initial,"Nonvalvular atrial fibrillation, prevention of stroke and systemic embolism",Completed,21-Mar-17,Reimburse with clinical criteria and/or conditions,Conditional,24-Mar-17,post-NOC,New Drug,Prevention of stroke and the systemic embolic event in people with atrial fibrilation,Completed,18-Oct-17,Avis d'inscription aux listes des médicaments - Médicament d'exception,Conditional,1st,20-Jul-18,05-Feb-19,Negotiation,Completed with Agreements,NR,SA,EDS,EDS,LU,FB,EDS,SA,SA,EM,,01-Mar-19,01-Apr-19,31-May-19,30-Apr-19,04-Jul-19,01-Jun-19,22-Jul-19,01-May-19,07-Mar-19,01-Mar-19,01-Mar-19,,1,3,6,4,8,7,9,5,2,4.50%,33.00%,38.80%,71.00%,71.70%,77.20%,78.50%,79.40%,79.70%,,79.70%,30-Apr-19,,-56,140,193,208,486,275,200,,24,55,115,84,149,116,167,85,30,99,24,92,24,,,847,878,938,907,972,939,990,908,853,922,915,847,903,710,,710,741,801,770,835,802,853,771,505,785,137,348,686,475,,,,60,,476
Lixiana VTE,edoxaban,Daiichi Sankyo,N,N,N,Y,N,N,N,N,N,01-Dec-15,04-Nov-16,339,CADTH & INESSS,09-Sep-16,pre-NOC,Initial,"Venous thromboembolism, treatment and recurrence prevention",Completed,25-May-17,Reimburse with clinical criteria and/or conditions,Conditional,24-Mar-17,post-NOC,New Drug,Treatment of venous thromboembolism,Completed,18-Oct-17,Avis d'inscription aux listes des médicaments - Médicament d'exception,Conditional,1st,20-Jul-18,05-Feb-19,Negotiation,Completed with Agreements,NR,SA,EDS,EDS,LU,FB,EDS,SA,SA,EM,,01-Mar-19,01-Apr-19,31-May-19,30-Apr-19,04-Jul-19,01-Jun-19,22-Jul-19,01-May-19,07-Mar-19,01-Mar-19,01-Mar-19,,1,3,6,4,8,7,9,5,2,4.50%,33.00%,38.80%,71.00%,71.70%,77.20%,78.50%,79.40%,79.70%,,79.70%,30-Apr-19,,-56,140,258,208,421,275,200,,24,55,115,84,149,116,167,85,30,99,24,92,24,,,847,878,938,907,972,939,990,908,853,922,915,847,903,645,,645,676,736,705,770,737,788,706,505,720,202,348,621,475,,,,60,,541
Lokelma,sodium zirconium cyclosilicate,AstraZeneca,Y,N,N,Y,N,N,N,N,Y,01-Sep-18,25-Jul-19,327,CADTH & INESSS,16-May-19,pre-NOC,Initial,"Hyperkalemia, adults",Completed,25-Mar-20,Do not reimburse,Negative,07-Jun-19,pre-NOC,New Drug,Hyperkalemia,Completed,08-Jan-20,Refus d'inscription,Negative,none,16-Apr-20,,Do Not Negotiate,n/a,NR,,NR,,,NR,,,,NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,-70,-48,314,215,22,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244,167,,,,,,,,571
Lonsurf,trifluridine and tipiracil,Taiho Pharma,N,N,N,Y,Y,N,N,N,N,01-Jul-17,25-Jan-18,208,CADTH & INESSS,06-Nov-17,pre-NOC,New drug,Metastatic Colorectal Cancer,Completed,06-Jul-18,Do Not Fund,Negative,,,New Drug,CRC,Completed,06-Jun-18,Avis de refus d'inscription aux listes des médicaments - Médicament d'exception - À moins que certaines conditions soient respectées,Conditional,1st,30-May-19,08-Aug-19,Negotiation,Completed with Agreements,Not funded,Not funded,Not funded,Not funded,Not funded,Not funded,Not funded,Not funded,Not funded,EM,,,,,,,,,,15-Aug-19,,15-Aug-19,,,,,,,,,,1,28.60%,,,,,,,,,,28.60%,,,-80,,242,,328,358,70,,,,,,,,,,7,,,7,7,,,,,,,,,,,567,,567,,,,,,,,,,,,,435,,162,132,398,428,,,,,,370
